Column1,Column2,Column9,Column14
2967103,Peyrat-le-Château,FR,87117
2967108,Blaye,FR,33058
2967110,Zuydcoote,FR,59668
2967112,Zutkerque,FR,62906
2967113,Zudausques,FR,62905
2967117,Zoufftgen,FR,57764
2967125,Zonza,FR,2A362
2967133,Zinswiller,FR,67558
2967136,Zimming,FR,57762
2967137,Zimmersheim,FR,68386
2967138,Zimmerbach,FR,68385
2967139,Zillisheim,FR,68384
2967153,Zellwiller,FR,67557
2967157,Zegerscappel,FR,59666
2967165,Yzeures-sur-Creuse,FR,37282
2967166,Yzeure,FR,03321
2967169,Yzernay,FR,49381
2967170,Yzengremer,FR,80834
2967175,Yvré-le-Pôlin,FR,72385
2967179,Yvrac,FR,33554
2967180,Yvoy-le-Marron,FR,41297
2967181,Yvoire,FR,74315
2967183,Yvignac-la-Tour,FR,22391
2967185,Yvias,FR,22390
2967189,Yvetot,FR,76758
2967191,Yves,FR,17483
2967199,Yvecrique,FR,76757
2967201,Ytrac,FR,15267
2967203,Yssingeaux,FR,43268
2967205,Yssandon,FR,19289
2967210,Yronde,FR,63472
2967213,Yquelon,FR,50647
2967217,Yport,FR,76754
2967218,Youx,FR,63471
2967229,Ymeray,FR,28425
2967230,Ymare,FR,76753
2967231,Ygrande,FR,03320
2967232,Ygos-Saint-Saturnin,FR,40333
2967234,Yffiniac,FR,22389
2967236,Yèvres,FR,28424
2967238,Yèvre-la-Ville,FR,45348
2967242,Yerville,FR,76752
2967245,Yerres,FR,91691
2967247,Yermenonville,FR,28423
2967249,Yenne,FR,73330
2967250,Yèbles,FR,77534
2967251,Yébleron,FR,76751
2967252,Ydes,FR,15265
2967253,Ychoux,FR,40332
2967256,Yainville,FR,76750
2967263,Xonrupt-Longemer,FR,88531
2967268,Xeuilley,FR,54596
2967269,Xertigny,FR,88530
2967272,Xanton-Chassenon,FR,85306
2967286,Wuenheim,FR,68381
2967287,Woustviller,FR,57752
2967288,Wormhout,FR,59663
2967289,Wolxheim,FR,67554
2967293,Wolfisheim,FR,67551
2967294,Wolfgantzen,FR,68379
2967297,Woippy,FR,57751
2967299,Woincourt,FR,80827
2967302,Woignarue,FR,80826
2967304,Woerth,FR,67550
2967307,Wœlfling-lès-Sarreguemines,FR,57750
2967309,Wizernes,FR,62902
2967310,Wiwersheim,FR,67548
2967311,Wittring,FR,57748
2967312,Wittisheim,FR,67547
2967313,Wittes,FR,62901
2967314,Wittersheim,FR,67546
2967315,Wittersdorf,FR,68377
2967317,Witternesse,FR,62900
2967318,Wittenheim,FR,68376
2967319,Wittelsheim,FR,68375
2967320,Witry-lès-Reims,FR,51662
2967322,Wissous,FR,91689
2967325,Wissembourg,FR,67544
2967326,Wissant,FR,62899
2967328,Wismes,FR,62897
2967331,Wisches,FR,67543
2967334,Wirwignes,FR,62896
2967337,Wintzenheim,FR,68374
2967339,Wintershouse,FR,67540
2967341,Winnezeele,FR,59662
2967343,Wingles,FR,62895
2967344,Wingersheim,FR,67539
2967345,Wingen-sur-Moder,FR,67538
2967349,Wimmenau,FR,67535
2967350,Wimille,FR,62894
2967351,Wimereux,FR,62893
2967352,Wilwisheim,FR,67534
2967356,Willgottheim,FR,67532
2967357,Willerwald,FR,57746
2967358,Willerval,FR,62892
2967363,Willems,FR,59660
2967370,Wihr-au-Val,FR,68368
2967372,Wignehies,FR,59659
2967373,Wiesviller,FR,57745
2967374,Wierre-Effroy,FR,62889
2967378,Widensolen,FR,68367
2967383,Wickerschwihr,FR,68366
2967386,Weyersheim,FR,67529
2967387,Weyer,FR,67528
2967389,Wettolsheim,FR,68365
2967393,Westhoffen,FR,67525
2967394,Westhalten,FR,68364
2967395,West-Cappel,FR,59657
2967397,Wervicq-Sud,FR,59656
2967398,Werentzhouse,FR,68363
2967399,Wentzwiller,FR,68362
2967403,Weiterswiller,FR,67524
2967404,Weitbruch,FR,67523
2967406,Weislingen,FR,67522
2967407,Weinbourg,FR,67521
2967410,Waziers,FR,59654
2967411,Wavrin,FR,59653
2967414,Wavrechain-sous-Denain,FR,59651
2967418,Wavignies,FR,60701
2967420,Wattwiller,FR,68359
2967421,Wattrelos,FR,59650
2967423,Wattignies,FR,59648
2967426,Watten,FR,59647
2967434,Wassy,FR,52550
2967435,Wassigny,FR,02830
2967437,Wasselonne,FR,67520
2967438,Wasquehal,FR,59646
2967439,Wasnes-au-Bac,FR,59645
2967449,Warmeriville,FR,51660
2967453,Warluis,FR,60700
2967454,Warloy-Baillon,FR,80820
2967460,Warhem,FR,59641
2967461,Wargnies-le-Petit,FR,59640
2967462,Wargnies-le-Grand,FR,59639
2967467,Wardrecques,FR,62875
2967468,Warcq,FR,08497
2967470,Wanquetin,FR,62874
2967471,Wannehain,FR,59638
2967472,Wangenbourg-Engenthal,FR,67122
2967473,Wangen,FR,67517
2967476,Wandignies-Hamage,FR,59637
2967477,Wancourt,FR,62873
2967482,Wambrechies,FR,59636
2967487,Waltenheim-sur-Zorn,FR,67516
2967488,Waltenheim,FR,68357
2967490,Walscheid,FR,57742
2967491,Walschbronn,FR,57741
2967492,Wallon-Cappel,FR,59634
2967494,Wallers,FR,59632
2967495,Walincourt-Selvigny,FR,59631
2967496,Walheim,FR,68356
2967497,Waldwisse,FR,57740
2967499,Waldolwisheim,FR,67515
2967500,Waldighofen,FR,68355
2967502,Waldhambach,FR,67514
2967506,Walbourg,FR,67511
2967507,Walbach,FR,68354
2967508,Wailly-Beaucamp,FR,62870
2967510,Wailly,FR,62247
2967516,Wahagnies,FR,59630
2967524,Wadelincourt,FR,08494
2967532,Vy-lès-Lure,FR,70581
2967541,Vulbens,FR,74314
2967542,Vulaines-sur-Seine,FR,77533
2967546,Vuillecin,FR,25634
2967547,Vuillafans,FR,25633
2967549,Vue,FR,44220
2967557,Vron,FR,80815
2967562,Vritz,FR,44180
2967568,Vrigny,FR,45347
2967570,Vrigne-aux-Bois,FR,08491
2967577,Vred,FR,59629
2967590,Voyennes,FR,80811
2967595,Voves,FR,28422
2967600,Vouzon,FR,41296
2967603,Vouziers,FR,08490
2967604,Vouzeron,FR,18290
2967606,Vieux Vouzan,FR,16422
2967609,Vouvray-sur-Loir,FR,72071
2967612,Vouvray,FR,37281
2967615,Vouvant,FR,85305
2967616,Voutré,FR,53276
2967620,Voutezac,FR,19288
2967625,Vourles,FR,69268
2967626,Vourey,FR,38566
2967627,Vouneuil-sur-Vienne,FR,86298
2967628,Vouneuil-sous-Biard,FR,86297
2967631,Voulx,FR,77531
2967639,Voulangis,FR,77529
2967641,Voujeaucourt,FR,25632
2967645,Vouillé-les-Marais,FR,85304
2967647,Vouillé,FR,86294
2967648,Vouillé,FR,79355
2967654,Vougy,FR,42338
2967655,Vougy,FR,74312
2967693,Vorey,FR,43267
2967695,Voreppe,FR,38565
2967700,Vonnas,FR,01457
2967708,Volx,FR,04245
2967710,Volvic,FR,63470
2967715,Volstroff,FR,57733
2967718,Volonne,FR,04244
2967724,Volnay,FR,72382
2967727,Volmunster,FR,57732
2967728,Volmerange-les-Mines,FR,57731
2967730,Vollore-Ville,FR,63469
2967738,Volesvres,FR,71590
2967739,Volckerinckhove,FR,59628
2967741,Voivres-lès-le-Mans,FR,72381
2967742,Voiteur,FR,39582
2967745,Voisins-le-Bretonneux,FR,78688
2967754,Voisenon,FR,77528
2967758,Voiron,FR,38563
2967767,Voinsles,FR,77527
2967778,Void-Vacon,FR,55573
2967780,Vogüé,FR,07348
2967781,Voglans,FR,73329
2967782,Volgelsheim,FR,68352
2967783,Vogelgrun,FR,68351
2967785,Vœuil-et-Giget,FR,16418
2967789,Vœgtlinshoffen,FR,68350
2967791,Vocance,FR,07347
2967796,Vizille,FR,38562
2967801,Vix,FR,85303
2967802,Vivy,FR,49378
2967803,Vivonne,FR,86293
2967804,Vivoin,FR,72380
2967806,Viviez,FR,12305
2967809,Viviers-sur-Chiers,FR,54590
2967812,Viviers-lès-Montagnes,FR,81325
2967820,Viviers,FR,07346
2967823,Vivier-au-Court,FR,08488
2967831,Vivario,FR,2B354
2967835,Vivaise,FR,02821
2967836,Viuz-la-Chiésaz,FR,74310
2967837,Viuz-en-Sallaz,FR,74311
2967845,Vittel,FR,88516
2967846,Vittefleur,FR,76748
2967847,Vitteaux,FR,21710
2967849,Vitry-sur-Seine,FR,94081
2967850,Vitry-sur-Orne,FR,57724
2967856,Vitry-le-François,FR,51649
2967860,Vitry-en-Perthois,FR,51647
2967862,Vitry-en-Charollais,FR,71588
2967863,Vitry-en-Artois,FR,62865
2967864,Vitry-aux-Loges,FR,45346
2967870,Vitrolles,FR,13117
2967879,Vitré,FR,35360
2967880,Vitré,FR,79030
2967887,Vitrac-Saint-Vincent,FR,16416
2967892,Vitrac,FR,24587
2967894,Viterne,FR,54586
2967901,Visseiche,FR,35359
2967909,Vis-en-Artois,FR,62864
2967914,Visan,FR,84150
2967916,Viry-Noureuil,FR,02820
2967917,Viry-Châtillon,FR,91687
2967918,Viry,FR,39579
2967920,Viry,FR,74309
2967924,Virsac,FR,33553
2967934,Viroflay,FR,78686
2967940,Viriville,FR,38561
2967942,Virignin,FR,01454
2967945,Virieu-le-Grand,FR,01452
2967947,Virieu,FR,38560
2967949,Viriat,FR,01451
2967951,Virey-sous-Bar,FR,10437
2967952,Virey,FR,50484
2967954,Virey-le-Grand,FR,71585
2967955,Vireux-Wallerand,FR,08487
2967956,Vireux-Molhain,FR,08486
2967963,Virelade,FR,33552
2967972,Vire,FR,14762
2967973,Viré,FR,71584
2967975,Virazeil,FR,47326
2967980,Virandeville,FR,50643
2967997,Vion,FR,72378
2967998,Vion,FR,07345
2968001,Viols-le-Fort,FR,34343
2968005,Violès,FR,84149
2968007,Violay,FR,42334
2968008,Violaines,FR,62863
2968009,Viodos,FR,64559
2968012,Vinzier,FR,74308
2968013,Vinzelles,FR,71583
2968018,Vins-sur-Caramy,FR,83151
2968019,Vinsobres,FR,26377
2968023,Vinon-sur-Verdon,FR,83150
2968026,Vinneuf,FR,89480
2968029,Vingrau,FR,66231
2968034,Vineuil-Saint-Firmin,FR,60695
2968035,Vineuil,FR,41295
2968036,Vineuil,FR,36247
2968044,Vindelle,FR,16415
2968051,Vincey,FR,88513
2968054,Vincennes,FR,94080
2968059,Vincelles,FR,89478
2968062,Vinça,FR,66230
2968063,Vinay,FR,51643
2968064,Vinay,FR,38559
2968066,Vinassan,FR,11441
2968070,Vimy,FR,62861
2968072,Vimoutiers,FR,61508
2968073,Vimory,FR,45345
2968075,Vimont,FR,14761
2968076,Vimines,FR,73326
2968104,Villy-Bocage,FR,14760
2968120,Villorceau,FR,45344
2968121,Villons-les-Buissons,FR,14758
2968139,Villiers-sur-Orge,FR,91685
2968140,Villiers-sur-Morin,FR,77521
2968142,Villiers-sur-Marne,FR,94079
2968144,Villiers-sur-Loir,FR,41294
2968149,Villiers-sous-Grez,FR,77520
2968151,Villiers-Saint-Georges,FR,77519
2968152,Villiers-Saint-Fréderic,FR,78683
2968163,Villiers-le-Sec,FR,52535
2968170,Villiers-le-Morhier,FR,28417
2968171,Villiers-le-Mahieu,FR,78681
2968176,Villiers-le-Bel,FR,95680
2968177,Villiers-le-Bâcle,FR,91679
2968183,Villiers-en-Plaine,FR,79351
2968185,Villiers-en-Lieu,FR,52534
2968186,Villiers-en-Désœuvre,FR,27696
2968190,Villiers-Charlemagne,FR,53273
2968195,Villiers-au-Bouin,FR,37279
2968196,Villiers-Adam,FR,95678
2968214,Villié-Morgon,FR,69267
2968220,Villey-Saint-Étienne,FR,54584
2968227,Villevocance,FR,07342
2968231,Villevieux,FR,39574
2968236,Villevieille,FR,30352
2968238,Villeveyrac,FR,34341
2968242,Villevêque,FR,49377
2968249,Villevaudé,FR,77517
2968254,Villeurbanne,FR,69266
2968257,Villette-lès-Dole,FR,39573
2968260,Villette-de-Vienne,FR,38558
2968264,Villette,FR,78677
2968271,Villetoureix,FR,24586
2968272,Villeton,FR,47325
2968273,Villethierry,FR,89467
2968274,Villetelle,FR,34340
2968275,Villetaneuse,FR,93079
2968285,Ville-sur-Jarnioux,FR,69265
2968290,Villes-sur-Auzon,FR,84148
2968293,Ville-sous-la-Ferté,FR,10426
2968294,Ville-sous-Anjou,FR,38556
2968298,Villesèquelande,FR,11437
2968310,Ville-Saint-Jacques,FR,77516
2968315,Villerville,FR,14755
2968316,Villerupt,FR,54580
2968325,Villers-sur-Mer,FR,14754
2968327,Villers-sur-le-Roule,FR,27691
2968330,Villers-sur-Coudun,FR,60689
2968335,Villers-sous-Saint-Leu,FR,60686
2968346,Villers-Semeuse,FR,08480
2968347,Villers-Saint-Sépulcre,FR,60685
2968348,Villers-Saint-Paul,FR,60684
2968351,Villers-Saint-Frambourg,FR,60682
2968353,Villers-Saint-Barthélemy,FR,60681
2968356,Villers-Pol,FR,59626
2968360,Villers-Outréaux,FR,59624
2968361,Villers-Marmery,FR,51636
2968366,Villers-les-Pots,FR,21699
2968368,Villers-lès-Nancy,FR,54578
2968376,Villers-le-Sec,FR,70563
2968379,Villers-le-Lac,FR,25321
2968382,Villers-la-Montagne,FR,54575
2968385,Villers-la-Chèvre,FR,54574
2968387,Villers-Guislain,FR,59623
2968390,Villers-Faucon,FR,80802
2968392,Villersexel,FR,70561
2968398,Villers-en-Cauchies,FR,59622
2968401,Villers-Écalles,FR,76743
2968405,Villers-Cotterêts,FR,02810
2968410,Villers-Canivet,FR,14753
2968415,Villers-Bretonneux,FR,80799
2968418,Villers-Bocage,FR,80798
2968419,Villers-Bocage,FR,14752
2968424,Villers-au-Tertre,FR,59620
2968427,Villers-Allerand,FR,51629
2968439,Villers,FR,42333
2968444,Villeroy,FR,77515
